Name,Symbols,Date,Close Price,Open Price,Volume
3M,MMM,3/19/2019,209.02,209.10001,"2,351,600"
3M,MMM,3/20/2019,208.3,209,"1,734,600"
3M,MMM,3/21/2019,209.61,206.8,"2,288,100"
3M,MMM,3/22/2019,204.66,208.28999,"2,716,100"
3M,MMM,3/25/2019,203.21001,203.46001,"2,020,600"
3M,MMM,3/26/2019,207.24001,205,"1,895,600"
3M,MMM,3/27/2019,207.16,207.39999,"2,004,000"
3M,MMM,3/28/2019,208.53,208,"1,670,600"
3M,MMM,3/29/2019,207.78,209.28999,"2,858,300"
3M,MMM,4/1/2019,211.94,209.89,"2,588,400"
3M,MMM,4/2/2019,212.13,212.24001,"1,413,500"
3M,MMM,4/3/2019,213.13,212.95,"1,570,000"
3M,MMM,4/4/2019,215.03,213.5,"1,560,900"
3M,MMM,4/5/2019,215.41,215.88,"1,391,100"
3M,MMM,4/8/2019,215.02,214.71001,"1,130,000"
3M,MMM,4/9/2019,211.96001,214.42,"1,516,500"
3M,MMM,4/10/2019,212.11,212.42,"1,348,600"
3M,MMM,4/11/2019,213.53,211.71001,"1,181,200"
3M,MMM,4/12/2019,217.42,215.10001,"1,922,400"
3M,MMM,4/15/2019,215.83,216.84,"1,483,300"
3M,MMM,4/16/2019,216.89999,216.59,"1,549,600"
3M,MMM,4/17/2019,217.64,217.63,"1,977,600"
3M,MMM,4/18/2019,218.88,217.98,"1,780,100"
3M,MMM,4/22/2019,218.53999,217.3,"1,403,500"
3M,MMM,4/23/2019,219.5,218.00999,"1,561,800"
3M,MMM,4/24/2019,219.08,219,"2,048,900"
3M,MMM,4/25/2019,190.72,197.53999,"14,646,200"
3M,MMM,4/26/2019,191.67,190.53,"4,491,300"
3M,MMM,4/29/2019,190.21001,191.52,"3,803,400"
3M,MMM,4/30/2019,189.50999,190.86,"4,541,000"
3M,MMM,5/1/2019,186.07001,189.49001,"3,818,500"
3M,MMM,5/2/2019,184.75,184.5,"5,654,900"
3M,MMM,5/3/2019,185.22,185.81,"4,747,700"
3M,MMM,5/6/2019,183.03999,182.03999,"6,517,600"
3M,MMM,5/7/2019,179.12,181.81,"5,415,600"
3M,MMM,5/8/2019,178.59,179.50999,"2,990,500"
3M,MMM,5/9/2019,175.28,177.3,"5,098,200"
3M,MMM,5/10/2019,175.86,175.02,"5,012,300"
3M,MMM,5/13/2019,174.07001,173.94,"5,916,700"
3M,MMM,5/14/2019,175.21001,174.78999,"4,014,000"
3M,MMM,5/15/2019,174.12,174.02,"3,015,500"
3M,MMM,5/16/2019,171.81,174.39,"4,039,500"
3M,MMM,5/17/2019,169.09,170,"4,595,000"
3M,MMM,5/20/2019,166.25,167.96001,"4,374,600"
3M,MMM,5/21/2019,167.3,167.00999,"4,148,200"
3M,MMM,5/22/2019,169.74001,167.42999,"4,504,200"
3M,MMM,5/23/2019,165.87,167.58,"3,830,200"
3M,MMM,5/24/2019,166.09,166.34,"2,366,900"
3M,MMM,5/28/2019,163.35001,166.8,"4,875,100"
3M,MMM,5/29/2019,161.39999,163.00999,"3,669,000"
3M,MMM,5/30/2019,160.58,161.39999,"2,478,700"
3M,MMM,5/31/2019,159.75,159.83,"3,521,900"
3M,MMM,6/3/2019,160.03999,159.75,"3,726,500"
3M,MMM,6/4/2019,164.28999,161.73,"3,746,800"
3M,MMM,6/5/2019,163.85001,165.14,"3,161,600"
3M,MMM,6/6/2019,164.72,164,"3,581,800"
3M,MMM,6/7/2019,166.61,165.56,"2,017,700"
3M,MMM,6/10/2019,168.28999,168.11,"2,257,600"
3M,MMM,6/11/2019,168.91,169.91,"2,227,200"
3M,MMM,6/12/2019,169.00999,169.87,"2,166,400"
3M,MMM,6/13/2019,168.85001,169.36,"2,141,500"
3M,MMM,6/14/2019,166.69,168.24001,"2,719,200"
3M,MMM,6/17/2019,166.78,167.10001,"1,783,300"
3M,MMM,6/18/2019,171.86,167.85001,"3,623,000"
3M,MMM,6/19/2019,170.75,171.88,"2,777,400"
3M,MMM,6/20/2019,173.94,172.87,"3,064,200"
3M,MMM,6/21/2019,173.35001,173.75,"4,880,800"
3M,MMM,6/24/2019,173.38,173.35001,"2,711,900"
3M,MMM,6/25/2019,172.03,173.25,"2,733,200"
3M,MMM,6/26/2019,171.88,172.35001,"1,812,200"
3M,MMM,6/27/2019,171.5,172.50999,"1,718,500"
3M,MMM,6/28/2019,173.34,171.85001,"3,600,800"
3M,MMM,7/1/2019,174.50999,175.46001,"2,106,700"
3M,MMM,7/2/2019,174.02,175.10001,"1,555,400"
3M,MMM,7/3/2019,174.98,174.17,"1,170,700"
3M,MMM,7/5/2019,172,173,"1,740,500"
3M,MMM,7/8/2019,169.19,169.92,"2,285,300"
3M,MMM,7/9/2019,165.7,166.82001,"4,536,100"
3M,MMM,7/10/2019,165.7,166.19,"2,661,700"
3M,MMM,7/11/2019,169.03999,166.3,"2,814,800"
3M,MMM,7/12/2019,173.34,170.10001,"3,160,700"
3M,MMM,7/15/2019,172.84,173.38,"2,187,500"
3M,MMM,7/16/2019,176.49001,172.75,"3,918,900"
3M,MMM,7/17/2019,174.67,176.35001,"2,947,400"
3M,MMM,7/18/2019,173.06,174.42,"2,223,300"
3M,MMM,7/19/2019,172.61,173.00999,"2,360,300"
3M,MMM,7/22/2019,174.64,172.81,"2,004,400"
3M,MMM,7/23/2019,177.52,176,"2,360,700"
3M,MMM,7/24/2019,179.42,176.92999,"3,532,300"
3M,MMM,7/25/2019,178.13,187.00999,"7,362,000"
3M,MMM,7/26/2019,173.98,177.63,"4,016,100"
3M,MMM,7/29/2019,176.75999,173.83,"2,638,900"
3M,MMM,7/30/2019,177.63,175.66,"1,978,900"
3M,MMM,7/31/2019,174.72,177.64999,"3,015,800"
3M,MMM,8/1/2019,173.36,174.78999,"2,381,200"
3M,MMM,8/2/2019,170.55,172.86,"2,423,100"
3M,MMM,8/5/2019,164.71001,168.95,"2,894,700"
3M,MMM,8/6/2019,163.71001,164.82001,"3,494,800"
3M,MMM,8/7/2019,163.64,162,"5,993,200"
3M,MMM,8/8/2019,164.22,164.37,"3,260,100"
3M,MMM,8/9/2019,163.47,164.53999,"1,582,100"
3M,MMM,8/12/2019,162.10001,163.02,"1,446,300"
3M,MMM,8/13/2019,164.88,162.56,"3,244,600"
3M,MMM,8/14/2019,158.81,162.5,"4,056,100"
3M,MMM,8/15/2019,156.84,158.06,"4,452,700"
3M,MMM,8/16/2019,161.5,157.84,"3,481,800"
3M,MMM,8/19/2019,162.95,163.71001,"3,198,000"
3M,MMM,8/20/2019,161.00999,163.11,"2,061,700"
3M,MMM,8/21/2019,161.14999,162.69,"1,623,600"
3M,MMM,8/22/2019,160.88,162,"1,441,600"
3M,MMM,8/23/2019,155.85001,160.08,"4,223,900"
3M,MMM,8/26/2019,156.12,157.00999,"2,215,300"
3M,MMM,8/27/2019,155.75,157.33,"2,281,100"
3M,MMM,8/28/2019,157.55,155.10001,"2,346,900"
3M,MMM,8/29/2019,160.36,159.3,"3,170,500"
3M,MMM,8/30/2019,161.72,161.57001,"1,967,000"
3M,MMM,9/3/2019,158.64,161.39999,"1,835,800"
3M,MMM,9/4/2019,160.07001,159.83,"1,506,600"
3M,MMM,9/5/2019,164.23,162.5,"2,421,400"
3M,MMM,9/6/2019,163.94,164.64,"1,762,300"
3M,MMM,9/9/2019,165.94,165,"3,091,300"
3M,MMM,9/10/2019,168.86,166.16,"3,240,200"
3M,MMM,9/11/2019,168.08,169.86,"3,579,100"
3M,MMM,9/12/2019,170.58,169.62,"2,870,400"
3M,MMM,9/13/2019,171.44,170.59,"2,534,200"
3M,MMM,9/16/2019,169.67,171.21001,"2,459,300"
3M,MMM,9/17/2019,168.07001,167.75999,"2,716,400"
3M,MMM,9/18/2019,167.44,167.61,"2,096,700"
3M,MMM,9/19/2019,167.07001,167.39,"1,623,000"
3M,MMM,9/20/2019,166.75999,167.42999,"3,698,900"
3M,MMM,9/23/2019,166.75999,165.49001,"1,938,600"
3M,MMM,9/24/2019,164.74001,167.05,"2,986,800"
3M,MMM,9/25/2019,164,164.75999,"2,758,200"
3M,MMM,9/26/2019,163.83,164,"2,763,300"
3M,MMM,9/27/2019,164.53,164.48,"2,870,300"
3M,MMM,9/30/2019,164.39999,165.21001,"2,508,500"
3M,MMM,10/1/2019,158.38,165,"3,271,500"
3M,MMM,10/2/2019,155.64999,157.06,"2,972,300"
3M,MMM,10/3/2019,155.23,155.14,"3,025,700"
3M,MMM,10/4/2019,155.82001,155.23,"2,646,400"
3M,MMM,10/7/2019,153.52,155,"2,471,200"
3M,MMM,10/8/2019,150.74001,152.33,"2,781,800"
3M,MMM,10/9/2019,150.99001,152.34,"3,358,600"
3M,MMM,10/10/2019,152.31,150.95,"3,192,000"
3M,MMM,10/11/2019,158.10001,154.13,"4,670,200"
3M,MMM,10/14/2019,160.50999,158.03999,"3,269,800"
3M,MMM,10/15/2019,162.98,159.35001,"3,098,600"
3M,MMM,10/16/2019,162.17999,163.10001,"1,935,200"
3M,MMM,10/17/2019,163.53999,163.14,"1,944,600"
3M,MMM,10/18/2019,163.10001,163.56,"2,693,700"
3M,MMM,10/21/2019,165.94,165.47,"1,998,600"
3M,MMM,10/22/2019,167.53999,166.27,"2,064,000"
3M,MMM,10/23/2019,168.75999,167.41,"2,712,300"
3M,MMM,10/24/2019,161.89,165.16,"5,953,300"
3M,MMM,10/25/2019,166.09,162.50999,"3,104,700"
3M,MMM,10/28/2019,169.06,166.48,"3,138,000"
3M,MMM,10/29/2019,168.81,168.03,"2,669,200"
3M,MMM,10/30/2019,168.37,168.23,"1,780,100"
3M,MMM,10/31/2019,164.99001,168.50999,"2,653,100"
3M,MMM,11/1/2019,170.09,166.94,"2,467,400"
3M,MMM,11/4/2019,174.89999,171.62,"4,142,800"
3M,MMM,11/5/2019,175.27,175,"2,304,300"
3M,MMM,11/6/2019,174,174.91,"3,012,900"
3M,MMM,11/7/2019,174.52,175.73,"3,358,800"
3M,MMM,11/8/2019,173.14999,174.58,"1,615,600"
3M,MMM,11/11/2019,170.11,172.5,"2,664,300"
3M,MMM,11/12/2019,170.84,170.36,"1,740,400"
3M,MMM,11/13/2019,170.55,170.11,"1,638,800"
3M,MMM,11/14/2019,170.92999,169.98,"1,613,900"
3M,MMM,11/15/2019,171.88,171.66,"2,616,900"
3M,MMM,11/18/2019,170.53999,170.78999,"2,364,600"
3M,MMM,11/19/2019,170.67999,171.72,"1,791,800"
3M,MMM,11/20/2019,167.77,169.78999,"2,689,500"
3M,MMM,11/21/2019,165.14,166.88,"3,605,700"
3M,MMM,11/22/2019,167.60001,165.5,"3,268,300"
3M,MMM,11/25/2019,170.24001,168.47,"2,761,900"
3M,MMM,11/26/2019,169.23,169.8,"2,610,900"
3M,MMM,11/27/2019,170.61,170,"1,331,500"
3M,MMM,11/29/2019,169.77,170.42999,"942,500"
3M,MMM,12/2/2019,168.27,170.16,"2,342,200"
3M,MMM,12/3/2019,165.17,166.5,"2,702,000"
3M,MMM,12/4/2019,167.14,166.42,"2,139,200"
3M,MMM,12/5/2019,164.37,167.22,"3,309,300"
3M,MMM,12/6/2019,171.47,167.25,"3,880,000"
3M,MMM,12/9/2019,169.83,169.39999,"2,058,200"
3M,MMM,12/10/2019,167.66,169.13,"2,670,500"
3M,MMM,12/11/2019,168.74001,168.38,"1,859,000"
3M,MMM,12/12/2019,168.56,166.73,"2,872,400"
3M,MMM,12/13/2019,168.78999,169.62,"2,098,000"
3M,MMM,12/16/2019,170.75,168.94,"2,917,200"
3M,MMM,12/17/2019,169.92999,170.35001,"2,672,600"
3M,MMM,12/18/2019,169.03,169.78,"2,270,400"
3M,MMM,12/19/2019,172.14999,169.62,"2,757,600"
3M,MMM,12/20/2019,175.37,174.78999,"7,513,000"
3M,MMM,12/23/2019,178.47,176.71001,"4,876,300"
3M,MMM,12/24/2019,176.67999,178.27,"1,259,500"
3M,MMM,12/26/2019,176.59,176.45,"1,435,200"
3M,MMM,12/27/2019,177.25999,176.64999,"1,472,900"
3M,MMM,12/30/2019,175.83,177.25999,"1,715,100"
3M,MMM,12/31/2019,176.42,175.23,"1,573,500"
3M,MMM,1/2/2020,180,177.67999,"3,601,700"
3M,MMM,1/3/2020,178.45,177.02,"2,466,900"
3M,MMM,1/6/2020,178.62,177.14999,"1,998,000"
3M,MMM,1/7/2020,177.89999,178.28,"2,173,000"
3M,MMM,1/8/2020,180.63,178,"2,758,300"
3M,MMM,1/9/2020,181.2,181.50999,"2,746,300"
3M,MMM,1/10/2020,180.47,181.61,"2,103,800"
3M,MMM,1/13/2020,180.92,180.94,"2,090,800"
3M,MMM,1/14/2020,181.37,180.92,"2,911,200"
3M,MMM,1/15/2020,179.78,181.42,"2,482,200"
3M,MMM,1/16/2020,181.00999,180.67999,"2,149,900"
3M,MMM,1/17/2020,181.35001,181,"3,690,100"
3M,MMM,1/21/2020,179.39,181.85001,"3,367,700"
3M,MMM,1/22/2020,178.03,179.50999,"2,420,200"
3M,MMM,1/23/2020,177.74001,177.07001,"2,358,400"
3M,MMM,1/24/2020,178.14999,178.49001,"2,643,100"
3M,MMM,1/27/2020,175.63,179.86,"4,361,400"
3M,MMM,1/28/2020,165.58,171.89999,"8,920,700"
3M,MMM,1/29/2020,162,166.35001,"5,343,900"
3M,MMM,1/30/2020,162.50999,161,"4,357,100"
3M,MMM,1/31/2020,158.66,162,"5,740,300"
3M,MMM,2/3/2020,156.59,160.03,"3,927,100"
3M,MMM,2/4/2020,157.24001,159.77,"4,363,900"
3M,MMM,2/5/2020,162.33,159.12,"3,118,200"
3M,MMM,2/6/2020,162.89,164.49001,"3,413,800"
3M,MMM,2/7/2020,160.08,161.41,"2,736,200"
3M,MMM,2/10/2020,160.14999,160.21001,"2,754,800"
3M,MMM,2/11/2020,162.45,161,"2,275,100"
3M,MMM,2/12/2020,163.8,164.24001,"2,736,400"
3M,MMM,2/13/2020,159.75999,161.75999,"3,413,900"
3M,MMM,2/14/2020,161.00999,159.85001,"2,233,500"
3M,MMM,2/18/2020,158.88,160.36,"2,478,900"
3M,MMM,2/19/2020,159.34,159.08,"2,296,400"
3M,MMM,2/20/2020,158.56,159,"3,275,100"
3M,MMM,2/21/2020,156.92999,158.33,"3,535,300"
3M,MMM,2/24/2020,152.55,154.45,"3,635,600"
3M,MMM,2/25/2020,146.85001,153.31,"5,263,400"
3M,MMM,2/26/2020,148.96001,149.57001,"5,152,100"
3M,MMM,2/27/2020,150.16,151.23,"8,241,600"
3M,MMM,2/28/2020,149.24001,154.09,"11,508,700"
3M,MMM,3/2/2020,153.02,151.34,"8,026,300"
3M,MMM,3/3/2020,145.24001,152.44,"8,296,500"
3M,MMM,3/4/2020,153.98,147.02,"5,773,800"
3M,MMM,3/5/2020,151.41,150.8,"5,887,000"
3M,MMM,3/6/2020,153.64999,149.59,"7,155,100"
3M,MMM,3/9/2020,144.06,146.59,"8,194,400"
3M,MMM,3/10/2020,153.3,149.02,"5,651,700"
3M,MMM,3/11/2020,147.24001,149.73,"4,748,200"
3M,MMM,3/12/2020,133.58,139.96001,"8,215,800"
3M,MMM,3/13/2020,141.67999,141.00999,"6,580,300"
3M,MMM,3/16/2020,130.91,129.86,"7,440,800"
3M,MMM,3/17/2020,134.44,131.94,"6,533,800"
3M,MMM,3/18/2020,137.02,128.46001,"6,826,058"
AIG,AIG,3/19/2019,43.86,44.55,"5,090,400"
AIG,AIG,3/20/2019,42.96,43.67,"4,823,800"
AIG,AIG,3/21/2019,43.43,42.56,"4,711,100"
AIG,AIG,3/22/2019,42.62,43,"5,410,600"
AIG,AIG,3/25/2019,42.45,42.67,"3,914,800"
AIG,AIG,3/26/2019,43.05,42.78,"2,958,400"
AIG,AIG,3/27/2019,43.14,43.08,"3,075,200"
AIG,AIG,3/28/2019,43.1,43.26,"2,978,300"
AIG,AIG,3/29/2019,43.06,43.45,"4,308,800"
AIG,AIG,4/1/2019,43.99,43.52,"3,715,100"
AIG,AIG,4/2/2019,43.55,43.96,"3,424,000"
AIG,AIG,4/3/2019,43.87,43.94,"3,490,300"
AIG,AIG,4/4/2019,44.6,43.89,"3,753,400"
AIG,AIG,4/5/2019,45.05,44.7,"4,063,900"
AIG,AIG,4/8/2019,44.87,44.97,"2,147,000"
AIG,AIG,4/9/2019,44.63,44.59,"3,397,000"
AIG,AIG,4/10/2019,44.88,44.57,"1,904,100"
AIG,AIG,4/11/2019,45.71,45.39,"4,330,300"
AIG,AIG,4/12/2019,46.19,46,"4,937,300"
AIG,AIG,4/15/2019,45.8,46.17,"3,766,200"
AIG,AIG,4/16/2019,46.74,46.05,"4,709,600"
AIG,AIG,4/17/2019,45.97,46.75,"3,650,600"
AIG,AIG,4/18/2019,46.04,45.9,"3,729,300"
AIG,AIG,4/22/2019,46,45.99,"2,631,000"
AIG,AIG,4/23/2019,45.98,45.8,"5,036,400"
AIG,AIG,4/24/2019,45.74,45.74,"4,050,600"
AIG,AIG,4/25/2019,45.19,45.48,"6,002,300"
AIG,AIG,4/26/2019,46.05,45.2,"3,070,600"
AIG,AIG,4/29/2019,46.99,46.15,"4,449,400"
AIG,AIG,4/30/2019,47.57,47,"5,439,800"
AIG,AIG,5/1/2019,46.87,47.5,"4,274,000"
AIG,AIG,5/2/2019,46.8,47.02,"4,753,400"
AIG,AIG,5/3/2019,47.11,46.9,"6,361,000"
AIG,AIG,5/6/2019,47.11,46.29,"6,001,600"
AIG,AIG,5/7/2019,50.3,50.74,"29,260,800"
AIG,AIG,5/8/2019,49.96,50.04,"11,033,100"
AIG,AIG,5/9/2019,50.83,49.69,"6,068,200"
AIG,AIG,5/10/2019,51.64,50.48,"5,779,500"
AIG,AIG,5/13/2019,50.72,50.98,"5,894,900"
AIG,AIG,5/14/2019,51.48,50.73,"6,844,000"
AIG,AIG,5/15/2019,51.85,51.08,"6,163,800"
AIG,AIG,5/16/2019,52.23,51.96,"5,450,300"
AIG,AIG,5/17/2019,52.37,51.67,"4,924,400"
AIG,AIG,5/20/2019,52.43,52.43,"5,713,500"
AIG,AIG,5/21/2019,52.5,52.78,"4,628,600"
AIG,AIG,5/22/2019,52.56,52.31,"4,408,600"
AIG,AIG,5/23/2019,52.2,52.22,"5,085,900"
AIG,AIG,5/24/2019,52.76,52.46,"3,341,000"
AIG,AIG,5/28/2019,52.07,52.59,"5,962,400"
AIG,AIG,5/29/2019,51.62,51.92,"3,947,700"
AIG,AIG,5/30/2019,51.94,51.79,"3,288,200"
AIG,AIG,5/31/2019,51.07,51.4,"5,120,800"
AIG,AIG,6/3/2019,52.71,51.06,"7,097,600"
AIG,AIG,6/4/2019,53.83,53.18,"6,775,100"
AIG,AIG,6/5/2019,53.68,53.34,"5,480,300"
AIG,AIG,6/6/2019,53.55,53.59,"4,764,200"
AIG,AIG,6/7/2019,52.91,53.51,"5,206,000"
AIG,AIG,6/10/2019,53.33,53.1,"4,645,800"
AIG,AIG,6/11/2019,53.08,53.6,"3,587,300"
AIG,AIG,6/12/2019,52.96,53.15,"2,842,400"
AIG,AIG,6/13/2019,53.2,52.7,"3,860,400"
AIG,AIG,6/14/2019,53.31,53.27,"3,206,900"
AIG,AIG,6/17/2019,52.99,53.42,"2,711,100"
AIG,AIG,6/18/2019,53.35,52.89,"3,313,800"
AIG,AIG,6/19/2019,53.6,53.5,"4,029,000"
AIG,AIG,6/20/2019,54.25,53.98,"5,000,700"
AIG,AIG,6/21/2019,53.65,54.64,"5,462,500"
AIG,AIG,6/24/2019,53.32,53.63,"2,745,200"
AIG,AIG,6/25/2019,52.73,53.23,"5,504,100"
AIG,AIG,6/26/2019,52.26,52.94,"3,883,400"
AIG,AIG,6/27/2019,53.05,52.37,"3,878,300"
AIG,AIG,6/28/2019,53.28,53.22,"5,214,800"
AIG,AIG,7/1/2019,53.84,53.53,"3,214,900"
AIG,AIG,7/2/2019,53.79,53.88,"3,374,800"
AIG,AIG,7/3/2019,54.83,54,"2,948,700"
AIG,AIG,7/5/2019,54.61,54.85,"2,514,000"
AIG,AIG,7/8/2019,54.96,54.6,"4,378,600"
AIG,AIG,7/9/2019,55.52,54.68,"3,617,100"
AIG,AIG,7/10/2019,55.73,55.54,"3,898,300"
AIG,AIG,7/11/2019,55.48,55.83,"3,389,300"
AIG,AIG,7/12/2019,56.27,55.85,"2,957,700"
AIG,AIG,7/15/2019,56.24,56.35,"2,900,700"
AIG,AIG,7/16/2019,56.03,56.41,"2,250,600"
AIG,AIG,7/17/2019,55.37,56,"3,679,400"
AIG,AIG,7/18/2019,55.6,55.45,"4,175,600"
AIG,AIG,7/19/2019,55.94,56.07,"4,852,800"
AIG,AIG,7/22/2019,55.88,55.77,"2,069,600"
AIG,AIG,7/23/2019,56.29,55.87,"2,160,300"
AIG,AIG,7/24/2019,57.39,56.01,"3,909,800"
AIG,AIG,7/25/2019,57.08,57.58,"2,459,300"
AIG,AIG,7/26/2019,57.27,56.99,"2,899,300"
AIG,AIG,7/29/2019,56.48,57.08,"2,565,100"
AIG,AIG,7/30/2019,56.32,56.1,"1,828,900"
AIG,AIG,7/31/2019,55.99,56.42,"3,179,200"
AIG,AIG,8/1/2019,54.71,55.73,"4,706,600"
AIG,AIG,8/2/2019,54.33,54.55,"2,683,600"
AIG,AIG,8/5/2019,52.81,53.46,"4,323,200"
AIG,AIG,8/6/2019,54.38,52.84,"4,247,700"
AIG,AIG,8/7/2019,54.41,53.31,"4,302,000"
AIG,AIG,8/8/2019,56.82,56.92,"8,893,700"
AIG,AIG,8/9/2019,56.26,56.5,"3,987,100"
AIG,AIG,8/12/2019,55.08,55.84,"3,554,500"
AIG,AIG,8/13/2019,56.12,54.83,"4,522,200"
AIG,AIG,8/14/2019,53.39,55.09,"8,548,900"
AIG,AIG,8/15/2019,53.74,53.52,"4,125,000"
AIG,AIG,8/16/2019,54.31,54.27,"4,042,200"
AIG,AIG,8/19/2019,54.81,55.03,"3,319,400"
AIG,AIG,8/20/2019,53.43,54.67,"3,551,200"
AIG,AIG,8/21/2019,53.69,53.95,"2,464,800"
AIG,AIG,8/22/2019,53.75,53.98,"2,326,600"
AIG,AIG,8/23/2019,52.49,53.51,"3,712,200"
AIG,AIG,8/26/2019,53.08,52.71,"2,212,600"
AIG,AIG,8/27/2019,52.74,53.27,"2,747,800"
AIG,AIG,8/28/2019,52.45,52.53,"2,481,500"
AIG,AIG,8/29/2019,52.46,52.98,"2,921,100"
AIG,AIG,8/30/2019,52.04,52.88,"4,565,000"
AIG,AIG,9/3/2019,52.4,51.75,"2,897,700"
AIG,AIG,9/4/2019,54.4,52.96,"3,846,900"
AIG,AIG,9/5/2019,54.68,55.15,"3,124,000"
AIG,AIG,9/6/2019,54.85,54.61,"1,901,200"
AIG,AIG,9/9/2019,55.41,55.08,"2,898,500"
AIG,AIG,9/10/2019,55.5,55.44,"3,170,500"
AIG,AIG,9/11/2019,56.6,55.48,"3,093,900"
AIG,AIG,9/12/2019,56.76,56.14,"3,263,600"
AIG,AIG,9/13/2019,57.29,57.08,"3,324,700"
AIG,AIG,9/16/2019,56.32,56.22,"2,793,600"
AIG,AIG,9/17/2019,57.08,56.18,"4,317,400"
AIG,AIG,9/18/2019,57.65,56.67,"4,292,100"
AIG,AIG,9/19/2019,57.89,57.8,"4,671,800"
AIG,AIG,9/20/2019,57.45,58.22,"6,534,700"
AIG,AIG,9/23/2019,57.3,57.1,"2,752,500"
AIG,AIG,9/24/2019,57,57.53,"3,592,400"
AIG,AIG,9/25/2019,56.53,56.88,"3,355,300"
AIG,AIG,9/26/2019,55.88,56.6,"3,206,200"
AIG,AIG,9/27/2019,56.16,56.22,"3,496,300"
AIG,AIG,9/30/2019,55.7,56.3,"3,424,500"
AIG,AIG,10/1/2019,54.37,55.93,"3,643,000"
AIG,AIG,10/2/2019,53.47,54.09,"3,492,000"
AIG,AIG,10/3/2019,53.21,53.19,"3,702,700"
AIG,AIG,10/4/2019,54.43,53.19,"3,298,100"
AIG,AIG,10/7/2019,53.63,54.22,"2,592,200"
AIG,AIG,10/8/2019,52.42,52.92,"3,763,600"
AIG,AIG,10/9/2019,53.04,52.77,"2,943,600"
AIG,AIG,10/10/2019,54.06,53.14,"3,962,000"
AIG,AIG,10/11/2019,54.42,54.89,"4,531,400"
AIG,AIG,10/14/2019,54.21,53.91,"1,980,600"
AIG,AIG,10/15/2019,54.68,54.35,"2,215,500"
AIG,AIG,10/16/2019,54.34,54.37,"3,429,200"
AIG,AIG,10/17/2019,54.06,54.71,"2,494,600"
AIG,AIG,10/18/2019,53.97,53.9,"2,344,000"
AIG,AIG,10/21/2019,54.55,54.51,"2,069,600"
AIG,AIG,10/22/2019,53.24,54.29,"3,381,800"
AIG,AIG,10/23/2019,53.15,53.06,"2,669,900"
AIG,AIG,10/24/2019,52.9,53.37,"1,665,700"
AIG,AIG,10/25/2019,52.8,52.72,"2,084,400"
AIG,AIG,10/28/2019,52.55,53.03,"3,817,200"
